filecode,inputLine,tradeLine,SecType,Symbol,Underlying,Expiry,Strike,O_Type,Trade_Time,Lot_Time,Exchange,Q,Price,Proceeds,CommTax,Basis,Realized_PL,Codes,OC,Type1,Account
06C,1,4,S,AAPL,AAPL,,,,2012-03-16 15:16:11,2012-03-16 15:16:11,-,100,584.61,-58461,-0.51,58461.51,0,O,O,S,IB9048
06C,2,4,S,AAPL,AAPL,,,,2012-03-16 15:16:11,2012-03-16 15:16:11,ARCA,100,584.61,-58461,-0.51,58461.51,0,O,O,,IB9048
06C,3,5,S,AAPL,AAPL,,,,2012-03-16 15:18:15,2012-03-16 15:18:15,-,100,584.6,-58460,-0.51,58460.51,0,O,O,S,IB9048
06C,4,5,S,AAPL,AAPL,,,,2012-03-16 15:18:15,2012-03-16 15:18:15,ARCA,100,584.6,-58460,-0.51,58460.51,0,O,O,,IB9048
06C,5,6,S,AAPL,AAPL,,,,2012-03-16 15:47:35,2012-03-16 15:47:35,-,200,584.6,-116920,-0.32,116920.32,0,P;O,O,S,IB9048
06C,6,6,S,AAPL,AAPL,,,,2012-03-16 15:47:35,2012-03-16 15:47:35,ARCA,165,584.6,-96459,-0.39,96459.39,0,P;O,O,,IB9048
06C,7,6,S,AAPL,AAPL,,,,2012-03-16 15:47:35,2012-03-16 15:47:35,ARCA,35,584.6,-20461,0.07,20460.93,0,P;O,O,,IB9048
06C,8,7,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 16:20:00,-,-200,555,111000,-2,-116922.02,0,A;ML;C,C,S,IB9048
06C,9,7,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 16:20:00,--,-200,555,111000,-2,-116922.02,0,A;ML;C,C,,IB9048
06C,10,7,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 15:16:11,,100,584.615106,,,58461.51,-2724.83,ST,A,,IB9048
06C,11,7,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 15:18:15,,100,584.605106,,,58460.51,-2723.83,ST,A,,IB9048
06C,12,7,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 15:47:35,,100,,,,,2724.83,ST,W,,IB9048
06C,13,7,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 15:47:35,,65,,,,,1770.49,ST,W,,IB9048
06C,14,7,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 15:47:35,,35,,,,,953.34,ST,W,,IB9048
06C,15,8,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 16:20:00,-,-200,570,114000,-2.05,-122368.99,-7312.51,A;ML;C,C,S,IB9048
06C,16,8,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 16:20:00,--,-200,570,114000,-2.05,-122368.99,-7312.51,A;ML;C,C,,IB9048
06C,17,8,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 15:47:35,,100,611.85068,,,61185.07,-3656.83,ST,A,,IB9048
06C,18,8,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 15:47:35,,65,611.84068,,,39769.64,-2376.29,ST,A,,IB9048
06C,19,8,S,AAPL,AAPL,,,,2012-03-16 16:20:00,2012-03-16 15:47:35,,35,611.836434,,,21414.28,-1279.39,ST,A,,IB9048
06C,20,9,S,AAPL,AAPL,,,,2012-10-19 15:00:26,2012-10-19 15:00:26,-,100,614.54,-61454,-0.82,61454.82,0,O,O,S,IB9048
06C,21,9,S,AAPL,AAPL,,,,2012-10-19 15:00:26,2012-10-19 15:00:26,ISE,100,614.54,-61454,-0.82,61454.82,0,O,O,,IB9048
06C,22,10,S,AAPL,AAPL,,,,2012-12-31 17:18:42,2012-12-31 17:18:42,-,-400,532.7,213080,-5.41,-163241.3,49833.28,P;C,C,S,IB9048
06C,23,10,S,AAPL,AAPL,,,,2012-12-31 17:18:42,2012-12-31 17:18:42,ARCA,-133,532.7,70849.1,-2.03,-53859.16,16987.9,P;C,C,,IB9048
06C,24,10,S,AAPL,AAPL,,,,2012-12-31 17:18:42,2011-10-19 00:00:00,,100,403.400206,,,40340.02,12928.45,LT,A,,IB9048
06C,25,10,S,AAPL,AAPL,,,,2012-12-31 17:18:42,2011-11-18 00:00:00,,33,409.67094,,,13519.14,4059.45,LT,A,,IB9048
06C,26,10,S,AAPL,AAPL,,,,2012-12-31 17:31:27,2012-12-31 17:31:27,ARCA,-267,532.7,142230.9,-3.38,-109382.14,32845.38,P;C,C,,IB9048
06C,27,10,S,AAPL,AAPL,,,,2012-12-31 17:31:27,2011-11-18 00:00:00,,267,409.67094,,,109382.14,32845.38,LT,A,,IB9048
06C,28,178,O,AAPL 18FEB12 435.0 C,AAPL,2012-02-18,435,C,2012-01-18 13:31:17,2012-01-18 13:31:17,-,5,11.71,-5855,-3.62,5858.62,0,P;O,O,S,IB9048
06C,29,178,O,AAPL 18FEB12 435.0 C,AAPL,2012-02-18,435,C,2012-01-18 13:31:17,2012-01-18 13:31:17,ISE,1,11.71,-1171,-1.02,1172.02,0,P;O,O,,IB9048
06C,30,178,O,AAPL 18FEB12 435.0 C,AAPL,2012-02-18,435,C,2012-01-18 13:31:27,2012-01-18 13:31:27,ISE,4,11.71,-4684,-2.6,4686.6,0,P;O,O,,IB9048
06C,31,179,O,AAPL 18FEB12 435.0 C,AAPL,2012-02-18,435,C,2012-01-24 15:20:53,2012-01-24 15:20:53,-,-5,9.2,4600,-3.71,-5858.62,-1262.33,ML;C,C,S,IB9048
06C,32,179,O,AAPL 18FEB12 435.0 C,AAPL,2012-02-18,435,C,2012-01-24 15:20:53,2012-01-24 15:20:53,CBOE,-5,9.2,4600,-3.71,-5858.62,-1262.33,ML;C,C,,IB9048
06C,33,179,O,AAPL 18FEB12 435.0 C,AAPL,2012-02-18,435,C,2012-01-24 15:20:53,2012-01-18 13:31:17,,1,11.720245,,,1172.02,-252.77,ST,A,,IB9048
06C,34,179,O,AAPL 18FEB12 435.0 C,AAPL,2012-02-18,435,C,2012-01-24 15:20:53,2012-01-18 13:31:27,,4,11.716495,,,4686.6,-1009.57,ST,A,,IB9048
06C,35,180,O,AAPL 18FEB12 440.0 C,AAPL,2012-02-18,440,C,2012-01-18 13:31:17,2012-01-18 13:31:17,-,-5,9.54,4770,-3.71,-4766.29,0,P;O,O,S,IB9048
06C,36,180,O,AAPL 18FEB12 440.0 C,AAPL,2012-02-18,440,C,2012-01-18 13:31:17,2012-01-18 13:31:17,ISE,-1,9.54,954,-1.04,-952.96,0,P;O,O,,IB9048
06C,37,180,O,AAPL 18FEB12 440.0 C,AAPL,2012-02-18,440,C,2012-01-18 13:31:27,2012-01-18 13:31:27,ISE,-4,9.54,3816,-2.67,-3813.33,0,P;O,O,,IB9048
06C,38,181,O,AAPL 18FEB12 440.0 C,AAPL,2012-02-18,440,C,2012-01-24 15:21:28,2012-01-24 15:21:28,-,5,7.3,-3650,-1.52,4766.29,1114.76,P;ML;C,C,S,IB9048
06C,39,181,O,AAPL 18FEB12 440.0 C,AAPL,2012-02-18,440,C,2012-01-24 15:21:28,2012-01-24 15:21:28,NASDAQOM,4,7.3,-2920,-1.22,3812.95,891.74,P;ML;C,C,,IB9048
06C,40,181,O,AAPL 18FEB12 440.0 C,AAPL,2012-02-18,440,C,2012-01-24 15:21:28,2012-01-18 13:31:17,,-1,9.529572,,,-952.96,222.65,ST,A,,IB9048
06C,41,181,O,AAPL 18FEB12 440.0 C,AAPL,2012-02-18,440,C,2012-01-24 15:21:28,2012-01-18 13:31:27,,-3,9.533322,,,-2860,669.08,ST,A,,IB9048
06C,42,181,O,AAPL 18FEB12 440.0 C,AAPL,2012-02-18,440,C,2012-01-24 15:21:44,2012-01-24 15:21:44,NASDAQOM,1,7.3,-730,-0.3,953.33,223.03,P;ML;C,C,,IB9048
06C,43,181,O,AAPL 18FEB12 440.0 C,AAPL,2012-02-18,440,C,2012-01-24 15:21:44,2012-01-18 13:31:27,,-1,9.533322,,,-953.33,223.03,ST,A,,IB9048
06C,44,182,O,AAPL 18FEB12 415.0 P,AAPL,2012-02-18,415,P,2012-01-18 13:31:17,2012-01-18 13:31:17,-,-5,9.512,4756,-3.71,-4752.29,0,P;O,O,S,IB9048
06C,45,182,O,AAPL 18FEB12 415.0 P,AAPL,2012-02-18,415,P,2012-01-18 13:31:17,2012-01-18 13:31:17,ISE,-1,9.52,952,-1.04,-950.96,0,P;O,O,,IB9048
06C,46,182,O,AAPL 18FEB12 415.0 P,AAPL,2012-02-18,415,P,2012-01-18 13:31:27,2012-01-18 13:31:27,ISE,-4,9.51,3804,-2.67,-3801.33,0,P;O,O,,IB9048
06C,47,183,O,AAPL 18FEB12 415.0 P,AAPL,2012-02-18,415,P,2012-01-24 15:23:07,2012-01-24 15:23:07,-,5,11.75,-5875,-3.62,4752.29,-1126.34,ML;C,C,S,IB9048
06C,48,183,O,AAPL 18FEB12 415.0 P,AAPL,2012-02-18,415,P,2012-01-24 15:23:07,2012-01-24 15:23:07,CBOE,5,11.75,-5875,-3.62,4752.29,-1126.34,ML;C,C,,IB9048
06C,49,183,O,AAPL 18FEB12 415.0 P,AAPL,2012-02-18,415,P,2012-01-24 15:23:07,2012-01-18 13:31:27,,-4,9.503322,,,-3801.33,-901.57,ST,A,,IB9048
06C,50,183,O,AAPL 18FEB12 415.0 P,AAPL,2012-02-18,415,P,2012-01-24 15:23:07,2012-01-18 13:31:17,,-1,9.509572,,,-950.96,-224.77,ST,A,,IB9048
06C,51,184,O,AAPL 18FEB12 420.0 P,AAPL,2012-02-18,420,P,2012-01-18 13:31:17,2012-01-18 13:31:17,-,5,11.342,-5671,-3.62,5674.62,0,P;O,O,S,IB9048
06C,52,184,O,AAPL 18FEB12 420.0 P,AAPL,2012-02-18,420,P,2012-01-18 13:31:17,2012-01-18 13:31:17,ISE,1,11.35,-1135,-1.02,1136.02,0,P;O,O,,IB9048
06C,53,184,O,AAPL 18FEB12 420.0 P,AAPL,2012-02-18,420,P,2012-01-18 13:31:27,2012-01-18 13:31:27,ISE,4,11.34,-4536,-2.6,4538.6,0,P;O,O,,IB9048
06C,54,185,O,AAPL 18FEB12 420.0 P,AAPL,2012-02-18,420,P,2012-01-24 15:20:20,2012-01-24 15:20:20,-,-5,14.1,7050,-3.76,-5674.62,1371.62,ML;C,C,S,IB9048
06C,55,185,O,AAPL 18FEB12 420.0 P,AAPL,2012-02-18,420,P,2012-01-24 15:20:20,2012-01-24 15:20:20,CBOE,-5,14.1,7050,-3.76,-5674.62,1371.62,ML;C,C,,IB9048
06C,56,185,O,AAPL 18FEB12 420.0 P,AAPL,2012-02-18,420,P,2012-01-24 15:20:20,2012-01-18 13:31:17,,1,11.360245,,,1136.02,273.22,ST,A,,IB9048
06C,57,185,O,AAPL 18FEB12 420.0 P,AAPL,2012-02-18,420,P,2012-01-24 15:20:20,2012-01-18 13:31:27,,4,11.346495,,,4538.6,1098.4,ST,A,,IB9048
06C,58,186,O,AAPL 17MAR12 535.0 C,AAPL,2012-03-17,535,C,2012-02-14 12:56:00,2012-02-14 12:56:00,-,-2,6.35,1270,-1.47,-1268.53,0,O,O,S,IB9048
06C,59,186,O,AAPL 17MAR12 535.0 C,AAPL,2012-03-17,535,C,2012-02-14 12:56:00,2012-02-14 12:56:00,CBOE,-2,6.35,1270,-1.47,-1268.53,0,O,O,,IB9048
06C,60,187,O,AAPL 17MAR12 535.0 C,AAPL,2012-03-17,535,C,2012-02-27 15:22:46,2012-02-27 15:22:46,-,2,7.67,-1534,-1.64,1268.53,-267.11,P;ML;C,C,S,IB9048
06C,61,187,O,AAPL 17MAR12 535.0 C,AAPL,2012-03-17,535,C,2012-02-27 15:22:46,2012-02-27 15:22:46,PHLX,1,7.69,-769,-0.76,634.26,-135.5,P;ML;C,C,,IB9048
06C,62,187,O,AAPL 17MAR12 535.0 C,AAPL,2012-03-17,535,C,2012-02-27 15:22:46,2012-02-14 12:56:00,,-1,6.342633,,,-634.26,-135.5,ST,A,,IB9048
06C,63,187,O,AAPL 17MAR12 535.0 C,AAPL,2012-03-17,535,C,2012-02-27 15:22:46,2012-02-27 15:22:46,PSE,1,7.65,-765,-0.87,634.26,-131.61,P;ML;C,C,,IB9048
06C,64,187,O,AAPL 17MAR12 535.0 C,AAPL,2012-03-17,535,C,2012-02-27 15:22:46,2012-02-14 12:56:00,,-1,6.342633,,,-634.26,-131.61,ST,A,,IB9048
06C,65,188,O,AAPL 17MAR12 555.0 C,AAPL,2012-03-17,555,C,2012-02-27 15:22:46,2012-02-27 15:22:46,-,-2,2.385,477,-1.65,-475.35,0,P;O,O,S,IB9048
06C,66,188,O,AAPL 17MAR12 555.0 C,AAPL,2012-03-17,555,C,2012-02-27 15:22:46,2012-02-27 15:22:46,PHLX,-1,2.39,239,-0.77,-238.23,0,P;O,O,,IB9048
06C,67,188,O,AAPL 17MAR12 555.0 C,AAPL,2012-03-17,555,C,2012-02-27 15:22:46,2012-02-27 15:22:46,PSE,-1,2.38,238,-0.88,-237.12,0,P;O,O,,IB9048
06C,68,189,O,AAPL 17MAR12 555.0 C,AAPL,2012-03-17,555,C,2012-03-16 16:20:00,2012-03-16 16:20:00,-,2,0,0,0,475.35,0,A;C,C,S,IB9048
06C,69,189,O,AAPL 17MAR12 555.0 C,AAPL,2012-03-17,555,C,2012-03-16 16:20:00,2012-03-16 16:20:00,--,2,0,0,0,475.35,0,A;C,C,,IB9048
06C,70,189,O,AAPL 17MAR12 555.0 C,AAPL,2012-03-17,555,C,2012-03-16 16:20:00,2012-02-27 00:00:00,,-2,2.376762,,,-475.35,0,ST,A,,IB9048
06C,71,190,O,AAPL 17MAR12 570.0 C,AAPL,2012-03-17,570,C,2012-03-01 12:45:21,2012-03-01 12:45:21,-,-2,5.3,1060,-1.47,-1058.53,0,P;O,O,S,IB9048
06C,72,190,O,AAPL 17MAR12 570.0 C,AAPL,2012-03-17,570,C,2012-03-01 12:45:21,2012-03-01 12:45:21,CBOE,-1,5.3,530,-1.03,-528.97,0,P;O,O,,IB9048
06C,73,190,O,AAPL 17MAR12 570.0 C,AAPL,2012-03-17,570,C,2012-03-01 12:48:01,2012-03-01 12:48:01,CBOE,-1,5.3,530,-0.43,-529.57,0,P;O,O,,IB9048
06C,74,191,O,AAPL 17MAR12 570.0 C,AAPL,2012-03-17,570,C,2012-03-16 16:20:00,2012-03-16 16:20:00,-,2,0,0,0,1058.53,0,A;C,C,S,IB9048
06C,75,191,O,AAPL 17MAR12 570.0 C,AAPL,2012-03-17,570,C,2012-03-16 16:20:00,2012-03-16 16:20:00,--,2,0,0,0,1058.53,0,A;C,C,,IB9048
06C,76,191,O,AAPL 17MAR12 570.0 C,AAPL,2012-03-17,570,C,2012-03-16 16:20:00,2012-03-01 00:00:00,,-2,5.29266,,,-1058.53,0,ST,A,,IB9048
06C,77,192,O,AAPL 21APR12 630.0 C,AAPL,2012-04-21,630,C,2012-03-14 10:46:56,2012-03-14 10:46:56,-,-3,8.6,2580,-0.96,-2579.04,0,O,O,S,IB9048
06C,78,192,O,AAPL 21APR12 630.0 C,AAPL,2012-04-21,630,C,2012-03-14 10:46:56,2012-03-14 10:46:56,NASDAQOM,-3,8.6,2580,-0.96,-2579.04,0,O,O,,IB9048
06C,79,193,O,AAPL 21APR12 630.0 C,AAPL,2012-04-21,630,C,2012-03-14 11:00:44,2012-03-14 11:00:44,-,-2,9,1800,-1.48,-1798.52,0,O,O,S,IB9048
06C,80,193,O,AAPL 21APR12 630.0 C,AAPL,2012-04-21,630,C,2012-03-14 11:00:44,2012-03-14 11:00:44,CBOE,-2,9,1800,-1.48,-1798.52,0,O,O,,IB9048
06C,81,194,O,AAPL 21APR12 630.0 C,AAPL,2012-04-21,630,C,2012-03-14 13:45:55,2012-03-14 13:45:55,-,-2,13.8,2760,-0.66,-2759.34,0,O,O,S,IB9048
06C,82,194,O,AAPL 21APR12 630.0 C,AAPL,2012-04-21,630,C,2012-03-14 13:45:55,2012-03-14 13:45:55,NASDAQOM,-2,13.8,2760,-0.66,-2759.34,0,O,O,,IB9048
06C,83,195,O,AAPL 21APR12 630.0 C,AAPL,2012-04-21,630,C,2012-03-30 12:01:59,2012-03-30 12:01:59,-,2,6.4,-1280,-1.45,1719.36,437.91,ML;C,C,S,IB9048
06C,84,195,O,AAPL 21APR12 630.0 C,AAPL,2012-04-21,630,C,2012-03-30 12:01:59,2012-03-30 12:01:59,CBOE,2,6.4,-1280,-1.45,1719.36,437.91,ML;C,C,,IB9048
06C,85,195,O,AAPL 21APR12 630.0 C,AAPL,2012-04-21,630,C,2012-03-30 12:01:59,2012-03-14 10:46:56,,-2,8.5968,,,-1719.36,437.91,ST,A,,IB9048
06C,86,196,O,AAPL 21APR12 630.0 C,AAPL,2012-04-21,630,C,2012-04-04 14:15:35,2012-04-04 14:15:35,-,2,10.25,-2050,-0.57,1758.94,0,ML;C,C,S,IB9048
06C,87,196,O,AAPL 21APR12 630.0 C,AAPL,2012-04-21,630,C,2012-04-04 14:15:35,2012-04-04 14:15:35,NASDAQOM,2,10.25,-2050,-0.57,1758.94,0,ML;C,C,,IB9048
06C,88,196,O,AAPL 21APR12 630.0 C,AAPL,2012-04-21,630,C,2012-04-04 14:15:35,2012-03-14 10:46:56,,-1,8.5968,,,-859.68,-165.6,ST,A,,IB9048
06C,89,196,O,AAPL 21APR12 630.0 C,AAPL,2012-04-21,630,C,2012-04-04 14:15:35,2012-03-14 11:00:44,,-1,8.992593,,,-899.26,-126.03,ST,A,,IB9048
06C,90,196,O,AAPL 21APR12 630.0 C,AAPL,2012-04-21,630,C,2012-04-04 14:15:35,2012-03-14 11:00:44,,-1,,,,,165.6,ST,W,,IB9048
06C,91,196,O,AAPL 21APR12 630.0 C,AAPL,2012-04-21,630,C,2012-04-04 14:15:35,2012-03-14 13:45:55,,-1,,,,,126.03,ST,W,,IB9048
06C,92,197,O,AAPL 21APR12 630.0 C,AAPL,2012-04-21,630,C,2012-04-12 15:14:23,2012-04-12 15:14:23,-,3,7.95,-2385,-2.17,3366.97,979.8,ML;C,C,S,IB9048
06C,93,197,O,AAPL 21APR12 630.0 C,AAPL,2012-04-21,630,C,2012-04-12 15:14:23,2012-04-12 15:14:23,CBOE,3,7.95,-2385,-2.17,3366.97,979.8,ML;C,C,,IB9048
06C,94,197,O,AAPL 21APR12 630.0 C,AAPL,2012-04-21,630,C,2012-04-12 15:14:23,2012-03-14 11:00:44,,-1,7.336548,,,-733.65,-62.07,ST,A,,IB9048
06C,95,197,O,AAPL 21APR12 630.0 C,AAPL,2012-04-21,630,C,2012-04-12 15:14:23,2012-03-14 13:45:55,,-1,12.536455,,,-1253.65,457.92,ST,A,,IB9048
06C,96,197,O,AAPL 21APR12 630.0 C,AAPL,2012-04-21,630,C,2012-04-12 15:14:23,2012-03-14 13:45:55,,-1,13.796707,,,-1379.67,583.95,ST,A,,IB9048
06C,97,198,O,AAPL 21APR12 640.0 C,AAPL,2012-04-21,640,C,2012-03-19 11:21:47,2012-03-19 11:21:47,-,-1,10.55,1055,-1.04,-1053.96,0,O,O,S,IB9048
06C,98,198,O,AAPL 21APR12 640.0 C,AAPL,2012-04-21,640,C,2012-03-19 11:21:47,2012-03-19 11:21:47,CBOE,-1,10.55,1055,-1.04,-1053.96,0,O,O,,IB9048
06C,99,199,O,AAPL 21APR12 640.0 C,AAPL,2012-04-21,640,C,2012-03-19 15:25:07,2012-03-19 15:25:07,-,-1,11.35,1135,-1.04,-1133.96,0,O,O,S,IB9048
06C,100,199,O,AAPL 21APR12 640.0 C,AAPL,2012-04-21,640,C,2012-03-19 15:25:07,2012-03-19 15:25:07,CBOE,-1,11.35,1135,-1.04,-1133.96,0,O,O,,IB9048
06C,101,200,O,AAPL 21APR12 640.0 C,AAPL,2012-04-21,640,C,2012-04-20 16:20:00,2012-04-20 16:20:00,-,2,0,0,0,2187.91,2187.91,Ep;C,C,S,IB9048
06C,102,200,O,AAPL 21APR12 640.0 C,AAPL,2012-04-21,640,C,2012-04-20 16:20:00,2012-04-20 16:20:00,--,2,0,0,0,2187.91,2187.91,Ep;C,C,,IB9048
06C,103,200,O,AAPL 21APR12 640.0 C,AAPL,2012-04-21,640,C,2012-04-20 16:20:00,2012-03-19 00:00:00,,-2,10.939558,,,-2187.91,2187.91,ST,A,,IB9048
06C,104,201,O,AAPL 21APR12 650.0 C,AAPL,2012-04-21,650,C,2012-04-05 12:34:18,2012-04-05 12:34:18,-,-2,7.75,1550,-1.48,-1548.52,0,O,O,S,IB9048
06C,105,201,O,AAPL 21APR12 650.0 C,AAPL,2012-04-21,650,C,2012-04-05 12:34:18,2012-04-05 12:34:18,CBOE,-2,7.75,1550,-1.48,-1548.52,0,O,O,,IB9048
06C,106,202,O,AAPL 21APR12 650.0 C,AAPL,2012-04-21,650,C,2012-04-12 14:48:25,2012-04-12 14:48:25,-,-2,2.7,540,-1.46,-538.54,0,O,O,S,IB9048
06C,107,202,O,AAPL 21APR12 650.0 C,AAPL,2012-04-21,650,C,2012-04-12 14:48:25,2012-04-12 14:48:25,CBOE,-2,2.7,540,-1.46,-538.54,0,O,O,,IB9048
06C,108,203,O,AAPL 21APR12 650.0 C,AAPL,2012-04-21,650,C,2012-04-20 16:20:00,2012-04-20 16:20:00,-,4,0,0,0,2087.06,2087.06,Ep;C,C,S,IB9048
06C,109,203,O,AAPL 21APR12 650.0 C,AAPL,2012-04-21,650,C,2012-04-20 16:20:00,2012-04-20 16:20:00,--,4,0,0,0,2087.06,2087.06,Ep;C,C,,IB9048
06C,110,203,O,AAPL 21APR12 650.0 C,AAPL,2012-04-21,650,C,2012-04-20 16:20:00,2012-04-05 00:00:00,,-2,7.742581,,,-1548.52,1548.52,ST,A,,IB9048
06C,111,203,O,AAPL 21APR12 650.0 C,AAPL,2012-04-21,650,C,2012-04-20 16:20:00,2012-04-12 00:00:00,,-2,2.692695,,,-538.54,538.54,ST,A,,IB9048
06C,112,204,O,AAPL 21APR12 675.0 C,AAPL,2012-04-21,675,C,2012-04-10 10:08:01,2012-04-10 10:08:01,-,-2,3.75,750,-1.47,-748.53,0,O,O,S,IB9048
06C,113,204,O,AAPL 21APR12 675.0 C,AAPL,2012-04-21,675,C,2012-04-10 10:08:01,2012-04-10 10:08:01,CBOE,-2,3.75,750,-1.47,-748.53,0,O,O,,IB9048
06C,114,205,O,AAPL 21APR12 675.0 C,AAPL,2012-04-21,675,C,2012-04-20 16:20:00,2012-04-20 16:20:00,-,2,0,0,0,748.53,748.53,Ep;C,C,S,IB9048
06C,115,205,O,AAPL 21APR12 675.0 C,AAPL,2012-04-21,675,C,2012-04-20 16:20:00,2012-04-20 16:20:00,--,2,0,0,0,748.53,748.53,Ep;C,C,,IB9048
06C,116,205,O,AAPL 21APR12 675.0 C,AAPL,2012-04-21,675,C,2012-04-20 16:20:00,2012-04-10 00:00:00,,-2,3.742671,,,-748.53,748.53,ST,A,,IB9048
06C,117,206,O,AAPL 27APR12 535.0 P,AAPL,2012-04-27,535,P,2012-04-24 12:38:34,2012-04-24 12:38:34,-,-2,8.1,1620,-0.61,-1619.39,0,O,O,S,IB9048
06C,118,206,O,AAPL 27APR12 535.0 P,AAPL,2012-04-27,535,P,2012-04-24 12:38:34,2012-04-24 12:38:34,NASDAQOM,-2,8.1,1620,-0.61,-1619.39,0,O,O,,IB9048
06C,119,207,O,AAPL 27APR12 535.0 P,AAPL,2012-04-27,535,P,2012-04-27 16:20:00,2012-04-27 16:20:00,-,2,0,0,0,1619.39,1619.39,Ep;C,C,S,IB9048
06C,120,207,O,AAPL 27APR12 535.0 P,AAPL,2012-04-27,535,P,2012-04-27 16:20:00,2012-04-27 16:20:00,--,2,0,0,0,1619.39,1619.39,Ep;C,C,,IB9048
06C,121,207,O,AAPL 27APR12 535.0 P,AAPL,2012-04-27,535,P,2012-04-27 16:20:00,2012-04-24 00:00:00,,-2,8.096974,,,-1619.39,1619.39,ST,A,,IB9048
06C,122,208,O,AAPL 19MAY12 535.0 P,AAPL,2012-05-19,535,P,2012-04-24 12:40:43,2012-04-24 12:40:43,-,-2,15.05,3010,-0.64,-3009.36,0,O,O,S,IB9048
06C,123,208,O,AAPL 19MAY12 535.0 P,AAPL,2012-05-19,535,P,2012-04-24 12:40:43,2012-04-24 12:40:43,NASDAQOM,-2,15.05,3010,-0.64,-3009.36,0,O,O,,IB9048
06C,124,209,O,AAPL 19MAY12 535.0 P,AAPL,2012-05-19,535,P,2012-05-02 14:50:54,2012-05-02 14:50:54,-,2,1.7,-340,-0.57,3009.36,2668.79,P;LI;C,C,S,IB9048
06C,125,209,O,AAPL 19MAY12 535.0 P,AAPL,2012-05-19,535,P,2012-05-02 14:50:54,2012-05-02 14:50:54,NASDAQOM,1,1.7,-170,-0.58,1504.68,1334.1,P;LI;C,C,,IB9048
06C,126,209,O,AAPL 19MAY12 535.0 P,AAPL,2012-05-19,535,P,2012-05-02 14:50:54,2012-04-24 12:40:43,,-1,15.046818,,,-1504.68,1334.1,ST,A,,IB9048
06C,127,209,O,AAPL 19MAY12 535.0 P,AAPL,2012-05-19,535,P,2012-05-02 14:50:55,2012-05-02 14:50:55,NASDAQOM,1,1.7,-170,0.02,1504.68,1334.7,P;LI;C,C,,IB9048
06C,128,209,O,AAPL 19MAY12 535.0 P,AAPL,2012-05-19,535,P,2012-05-02 14:50:55,2012-04-24 12:40:43,,-1,15.046818,,,-1504.68,1334.7,ST,A,,IB9048
06C,129,210,O,AAPL 16JUN12 590.0 C,AAPL,2012-06-16,590,C,2012-04-30 15:59:29,2012-04-30 15:59:29,-,1,23.55,-2355,-0.58,2355.58,0,O,O,S,IB9048
06C,130,210,O,AAPL 16JUN12 590.0 C,AAPL,2012-06-16,590,C,2012-04-30 15:59:29,2012-04-30 15:59:29,NASDAQOM,1,23.55,-2355,-0.58,2355.58,0,O,O,,IB9048
06C,131,211,O,AAPL 16JUN12 590.0 C,AAPL,2012-06-16,590,C,2012-06-15 16:20:00,2012-06-15 16:20:00,-,-1,0,0,0,-2355.58,-2355.58,Ep;C,C,S,IB9048
06C,132,211,O,AAPL 16JUN12 590.0 C,AAPL,2012-06-16,590,C,2012-06-15 16:20:00,2012-06-15 16:20:00,--,-1,0,0,0,-2355.58,-2355.58,Ep;C,C,,IB9048
06C,133,211,O,AAPL 16JUN12 590.0 C,AAPL,2012-06-16,590,C,2012-06-15 16:20:00,2012-04-30 00:00:00,,1,23.555845,,,2355.58,-2355.58,ST,A,,IB9048
06C,134,212,O,AAPL 20OCT12 660.0 C,AAPL,2012-10-20,660,C,2012-08-03 11:55:50,2012-08-03 11:55:50,-,-1,12.5,1250,-1.09,-1248.91,0,O,O,S,IB9048
06C,135,212,O,AAPL 20OCT12 660.0 C,AAPL,2012-10-20,660,C,2012-08-03 11:55:50,2012-08-03 11:55:50,CBOE,-1,12.5,1250,-1.09,-1248.91,0,O,O,,IB9048
06C,136,213,O,AAPL 20OCT12 660.0 C,AAPL,2012-10-20,660,C,2012-08-29 13:51:19,2012-08-29 13:51:19,-,1,35.74,-3574,-0.69,1248.91,-2325.78,LI;C,C,S,IB9048
06C,137,213,O,AAPL 20OCT12 660.0 C,AAPL,2012-10-20,660,C,2012-08-29 13:51:19,2012-08-29 13:51:19,CBOE2,1,35.74,-3574,-0.69,1248.91,-2325.78,LI;C,C,,IB9048
06C,138,213,O,AAPL 20OCT12 660.0 C,AAPL,2012-10-20,660,C,2012-08-29 13:51:19,2012-08-03 11:55:50,,-1,12.489128,,,-1248.91,-2325.78,ST,A,,IB9048
06C,139,214,O,AAPL 17NOV12 660.0 C,AAPL,2012-11-17,660,C,2012-08-03 11:52:25,2012-08-03 11:52:25,-,-1,18.7,1870,-0.66,-1869.34,0,O,O,S,IB9048
